1 pill,
2 pills,
3 pills,
4 pills,
5 pills,
6 pills,
7 pills,
8 pills,
9 pills,
10 pills,
11 pills,
12 pills,
13 pills,
14 pills,
15 pills,
1 drop,
2 drops,
3 drops,
4 drops,
5 drops,
6 drops,
7 drops,
8 drops,
9 drops,
10 drops,
11 drops,
12 drops,
13 drops,
14 drops,
15 drops,
1 milligram,
2 milligrams,
3 milligrams,
4 milligrams,
5 milligrams,
6 milligrams,
7 milligrams,
8 milligrams,
9 milligrams,
10 milligrams,
11 milligrams,
12 milligrams,
13 milligrams,
14 milligrams,
15 milligrams,
16 milligrams,
17 milligrams,
18 milligrams,
19 milligrams,
20 milligrams,
21 milligrams,
22 milligrams,
23 milligrams,
24 milligrams,
25 milligrams,
50 milligrams,
75 milligrams,
100 milligrams,
125 milligrams,
150 milligrams,
175 milligrams,
200 milligrams,
225 milligrams,
250 milligrams,
275 milligrams,
300 milligrams,
325 milligrams,
350 milligrams,
375 milligrams,
400 milligrams,
425 milligrams,
450 milligrams,
475 milligrams,
500 milligrams,
525 milligrams,
550 milligrams,
575 milligrams,
600 milligrams,
625 milligrams,
650 milligrams,
675 milligrams,
700 milligrams,
725 milligrams,
750 milligrams,
775 milligrams,
800 milligrams,
825 milligrams,
850 milligrams,
875 milligrams,
900 milligrams,
925 milligrams,
950 milligrams,
975 milligrams,
1000 milligrams,
1 injection,
2 injections,
3 injections,
4 injections,
5 injections,
6 injections,
7 injections,
8 injections,
9 injections,
10 injections,
11 injections,
12 injections,
13 injections,
14 injections,
15 injections,
1 gram,
2 grams,
3 grams,
4 grams,
5 grams,
6 grams,
7 grams,
8 grams,
9 grams,
10 grams,
11 grams,
12 grams,
13 grams,
14 grams,
15 grams,
16 grams,
17 grams,
18 grams,
19 grams,
20 grams,
21 grams,
22 grams,
23 grams,
24 grams,
25 grams,
50 grams,
75 grams,
100 grams,
125 grams,
150 grams,
175 grams,
200 grams,
225 grams,
250 grams,
275 grams,
300 grams,
325 grams,
350 grams,
375 grams,
400 grams,
425 grams,
450 grams,
475 grams,
500 grams,
525 grams,
550 grams,
575 grams,
600 grams,
625 grams,
650 grams,
675 grams,
700 grams,
725 grams,
750 grams,
775 grams,
800 grams,
825 grams,
850 grams,
875 grams,
900 grams,
925 grams,
950 grams,
975 grams,
1000 grams,
1 teaspoon,
2 teaspoons,
3 teaspoons,
4 teaspoons,
5 teaspoons,
6 teaspoons,
7 teaspoons,
8 teaspoons,
9 teaspoons,
10 teaspoons,
11 teaspoons,
12 teaspoons,
13 teaspoons,
14 teaspoons,
15 teaspoons,
16 teaspoons,
17 teaspoons,
18 teaspoons,
19 teaspoons,
20 teaspoons,
21 teaspoons,
22 teaspoons,
23 teaspoons,
24 teaspoons,
25 teaspoons,
1 tablespoon,
2 tablespoons,
3 tablespoons,
4 tablespoons,
5 tablespoons,
6 tablespoons,
7 tablespoons,
8 tablespoons,
9 tablespoons,
10 tablespoons,
1 shot,
2 shots,
3 shots,
4 shots,
5 shots,
6 shots,
7 shots,
8 shots,
9 shots,
10 shots,
11 shots,
12 shots,
13 shots,
14 shots,
15 shots,
16 shots,
17 shots,
18 shots,
19 shots,
20 shots,
21 shots,
1 double decker bus,
2 double decker busses,
3 double decker busses,
4 double decker busses,
5 double decker busses,
6 double decker busses,
7 double decker busses,
8 double decker busses,
9 double decker busses,
10 double decker busses,
1 pint,
2 pints,
3 pints,
4 pints,
5 pints,
6 pints,
7 pints,
8 pints,
9 pints,
10 pints,
11 pints,
12 pints,
13 pints,
14 pints,
15 pints,
16 pints,
17 pints,
18 pints,
19 pints,
20 pints,
21 pints,
22 pints,
23 pints,
24 pints,
25 pints,
1 dose,
2 doses,
3 doses,
4 doses,
5 doses,
6 doses,
7 doses,
8 doses,
9 doses,
10 doses,
11 doses,
12 doses,
13 doses,
14 doses,
15 doses,