daily,
each day,
everyday,
every day,
every other day,
every 2 days,
every 3 days,
every 4 days,
every 5 days,
every 6 days,
every 7 days,
weekly,
every week,
each week,
every other week,
every 2 weeks,
every 3 weeks,
every 4 weeks,
every 5 weeks,
every 6 weeks,
every 7 weeks,
monthly,
each month,
every other month,
every 2 months,
every 3 months,
every 4 months,
every 5 months,
every 6 months,
every 7 months,
yearly,
each year,
every other year,
every 2 years,
every 3 years,
every 4 years,
every 5 years,
every 6 years,
every 7 years,